ID_Produk,Bulan,Produk_Variasi,Stok_Awal,Total_Jumlah,Stok_Akhir,Pending,Stok_Status
49,2024-03,"Diapers Renang Anak merk wyeth us - Warna Biru, Ukuran L",67,1,66,0,Overstock
54,2024-03,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran L",62,1,61,0,Overstock
50,2024-03,"Diapers Renang Anak merk wyeth us - Warna Pink, Ukuran M",1,1,0,0,Optimal
69,2024-03,Kursi Goyang Bayi 10in1 Merk Sugar Baby - Motif Dear Bear,1,1,0,0,Optimal
70,2024-03,Kursi Goyang Bayi 10in1 Merk Sugar Baby - Motif Super Hero,1,1,0,0,Optimal
71,2024-04,"8in1 Gift Parcel Bayi Import - Motif Gajah Hijau, Usia 3–6 Bulan",16,1,15,0,Kurang Optimal
72,2024-04,"8in1 Gift Parcel Bayi Import - Motif Unicorn, Usia 3–6 Bulan",13,1,12,0,Kurang Optimal
73,2024-04,Baby Walker Minicar Merk Sugar Baby - Warna Pink,1,1,0,0,Optimal
74,2024-04,Baby Walker Minicar Merk Sugar Baby - Warna Putih,13,1,12,0,Kurang Optimal
48,2024-04,"Baju Renang Anak Premium Motif Karakter - Ukuran S, Boy",1,2,0,1,Understock
63,2024-04,"Diapers Renang Anak - Warna Biru, Ukuran L",42,31,11,0,Kurang Optimal
64,2024-04,"Diapers Renang Anak - Warna Biru, Ukuran M",53,7,46,0,Overstock
65,2024-04,"Diapers Renang Anak - Warna Biru, Ukuran XL",6,10,0,4,Understock
66,2024-04,"Diapers Renang Anak - Warna Pink, Ukuran L",5,10,0,5,Understock
67,2024-04,"Diapers Renang Anak - Warna Pink, Ukuran M",35,2,33,0,Overstock
68,2024-04,"Diapers Renang Anak - Warna Pink, Ukuran XL",97,5,92,0,Overstock
10,2024-04,"Kartu Ucapan Kado Bayi - Kartu Ucapan, Boy",95,1,94,0,Overstock
12,2024-04,"Kartu Ucapan Kado Bayi - Kertas Kado, Boy",1,1,0,0,Optimal
26,2024-04,Kursi Goyang Bayi 10in1 Merk Sugar Baby - Warna Pink,20,1,19,0,Kurang Optimal
