Tanggal,Total Penjualan (IDR),Total Pesanan,Penjualan per Pesanan,Produk Dilihat,Total Pengunjung,Tingkat Konversi (Pesanan Siap Dikirim),Pesanan Dibatalkan,Penjualan Dibatalkan,Pesanan Dikembalikan,Penjualan Dikembalikan,Pembeli,Total Pembeli Baru,Total Pembeli Saat Ini,Total Potensi Pembeli,Tingkat Pembelian Berulang
18-08-2023,0,0,"0,00",28,13,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
19-08-2023,0,0,"0,00",37,10,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
20-08-2023,0,0,"0,00",5,6,"0,00%",0,0,0,0,0,0,0,0,"0,00%"
21-08-2023,0,0,"0,00",19,13,"0,00%",0,0,0,0,0,0,0,0,"0,00%"
22-08-2023,431.8,2,"215.900,00",74,16,"12,50%",0,0,0,0,2,1,1,2,"0,00%"
23-08-2023,144.4,2,"72.200,00",54,17,"11,76%",0,0,0,0,2,2,0,5,"0,00%"
24-08-2023,45.8,1,"45.800,00",27,11,"9,09%",0,0,0,0,1,1,0,3,"0,00%"
25-08-2023,50.275,1,"50.275,00",48,14,"7,14%",0,0,0,0,1,1,0,3,"0,00%"
26-08-2023,0,0,"0,00",88,23,"0,00%",0,0,0,0,0,0,0,9,"0,00%"
27-08-2023,0,0,"0,00",24,11,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
28-08-2023,45.8,1,"45.800,00",24,12,"8,33%",0,0,0,0,1,1,0,0,"0,00%"
29-08-2023,0,0,"0,00",38,16,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
30-08-2023,107.243,2,"53.621,50",42,18,"11,11%",0,0,0,0,2,2,0,1,"0,00%"
31-08-2023,209.94,2,"104.970,00",32,18,"11,11%",0,0,0,0,2,1,1,3,"0,00%"
1/9/2023,201.15,3,"67.050,00",71,22,"13,64%",0,0,0,0,3,1,2,4,"0,00%"
2/9/2023,209.806,3,"69.935,33",91,26,"7,69%",2,142.459,0,0,2,2,0,5,"50,00%"
3/9/2023,101.6,2,"50.800,00",26,16,"12,50%",0,0,0,0,2,0,2,1,"0,00%"
4/9/2023,88.6,1,"88.600,00",55,21,"4,76%",0,0,0,0,1,1,0,5,"0,00%"
5/9/2023,193.101,2,"96.550,50",62,21,"9,52%",0,0,0,0,2,2,0,6,"0,00%"
6/9/2023,44.42,1,"44.420,00",25,15,"6,67%",0,0,0,0,1,1,0,2,"0,00%"
7/9/2023,194.8,3,"64.933,33",155,31,"9,68%",0,0,0,0,3,3,0,7,"0,00%"
8/9/2023,252.576,3,"84.192,00",92,28,"7,14%",1,59.8,0,0,2,2,0,6,"50,00%"
9/9/2023,353.857,4,"88.464,25",153,32,"12,50%",0,0,0,22.233,4,4,0,6,"0,00%"
10/9/2023,54.9,1,"54.900,00",44,23,"4,35%",0,0,0,0,1,1,0,4,"0,00%"
11/9/2023,115.125,1,"115.125,00",78,28,"3,57%",0,0,0,0,1,1,0,3,"0,00%"
12/9/2023,67.357,1,"67.357,00",53,24,"4,17%",0,0,0,0,1,1,0,5,"0,00%"
13-09-2023,44.8,1,"44.800,00",30,18,"5,56%",0,0,0,0,1,1,0,3,"0,00%"
14-09-2023,110.734,2,"55.367,00",65,31,"6,45%",0,0,0,0,2,2,0,10,"0,00%"
15-09-2023,46.8,1,"46.800,00",38,19,"5,26%",0,0,0,0,1,0,1,2,"0,00%"
16-09-2023,56.348,1,"56.348,00",47,19,"5,26%",0,0,0,0,1,1,0,2,"0,00%"
17-09-2023,0,0,"0,00",20,14,"0,00%",0,0,0,0,0,0,0,1,"0,00%"
18-09-2023,132.7,1,"132.700,00",79,22,"4,55%",0,0,0,0,1,1,0,7,"0,00%"
19-09-2023,49.229,1,"49.229,00",40,22,"4,55%",0,0,0,0,1,1,0,2,"0,00%"
20-09-2023,81.206,1,"81.206,00",48,11,"9,09%",0,0,0,0,1,1,0,2,"0,00%"
21-09-2023,146.53,1,"146.530,00",65,23,"4,35%",0,0,0,0,1,1,0,3,"0,00%"
22-09-2023,44.8,1,"44.800,00",99,32,"3,12%",0,0,0,0,1,1,0,5,"0,00%"
23-09-2023,187.299,2,"93.649,50",79,26,"7,69%",0,0,0,0,2,2,0,1,"0,00%"
24-09-2023,39.501,1,"39.501,00",35,18,"5,56%",0,0,0,0,1,1,0,2,"0,00%"
25-09-2023,0,0,"0,00",74,26,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
26-09-2023,95.166,2,"47.583,00",38,20,"10,00%",0,0,0,0,2,2,0,1,"0,00%"
27-09-2023,66.75,2,"33.375,00",69,22,"9,09%",0,0,0,0,2,2,0,3,"0,00%"
28-09-2023,88.6,1,"88.600,00",89,27,"3,70%",0,0,0,0,1,1,0,8,"0,00%"
29-09-2023,131.5,3,"43.833,33",137,37,"8,11%",0,0,0,0,3,3,0,13,"0,00%"
30-09-2023,233.1,3,"77.700,00",119,28,"10,71%",0,0,0,0,3,2,1,6,"0,00%"
1/10/2023,137.999,2,"68.999,50",64,26,"7,69%",0,0,0,0,2,2,0,3,"0,00%"
2/10/2023,46.8,1,"46.800,00",132,67,"1,49%",0,0,0,0,1,1,0,6,"0,00%"
3/10/2023,310.4,2,"155.200,00",68,22,"9,09%",0,0,0,0,2,2,0,7,"0,00%"
4/10/2023,599.388,4,"149.847,00",46,22,"18,18%",0,0,0,0,4,3,1,4,"0,00%"
5/10/2023,97.6,2,"48.800,00",65,28,"7,14%",0,0,0,0,2,1,1,2,"0,00%"
6/10/2023,0,0,"0,00",44,25,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
7/10/2023,0,0,"0,00",70,20,"0,00%",0,0,0,0,0,0,0,4,"0,00%"
8/10/2023,0,0,"0,00",43,22,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
9/10/2023,44.8,1,"44.800,00",48,22,"4,55%",0,0,0,0,1,0,1,5,"0,00%"
10/10/2023,0,0,"0,00",25,18,"0,00%",0,0,0,0,0,0,0,3,"0,00%"
11/10/2023,31.9,1,"31.900,00",65,20,"5,00%",0,0,0,0,1,1,0,5,"0,00%"
12/10/2023,207.412,2,"103.706,00",100,25,"8,00%",1,22.9,0,0,2,2,0,7,"0,00%"
13-10-2023,184.102,4,"46.025,50",100,30,"13,33%",1,46.552,0,0,4,3,1,6,"0,00%"
14-10-2023,224.21,1,"224.210,00",50,20,"5,00%",0,0,0,0,1,1,0,2,"0,00%"
15-10-2023,0,0,"0,00",103,26,"0,00%",0,0,0,0,0,0,0,5,"0,00%"
16-10-2023,177.2,2,"88.600,00",79,37,"2,70%",1,88.6,0,0,1,1,0,5,"100,00%"
17-10-2023,0,0,"0,00",80,37,"0,00%",0,0,0,0,0,0,0,4,"0,00%"
18-10-2023,33.85,1,"33.850,00",99,32,"3,12%",0,0,0,0,1,1,0,5,"0,00%"
